G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
K                             101         1.7000439929      0.3333300000      0.3333300000      0.0000000000
M                             151         2.5500659895      0.5000000000      0.0000000000      0.0000000000
G                             238         4.0223619329      0.0000000000      0.0000000000      0.0000000000
