# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.000000000    4.486076861    4.486076876    2.930545481
    0.020040080    4.486192602    4.486192618    2.930569950
    0.040080160    4.486539900    4.486539915    2.930643366
    0.060120240    4.487118971    4.487118986    2.930765745
    0.080160321    4.487930177    4.487930192    2.930937120
    0.100200401    4.488974026    4.488974041    2.931157534
    0.120240481    4.490251172    4.490251188    2.931427045
    0.140280561    4.491762421    4.491762436    2.931745721
    0.160320641    4.493508722    4.493508738    2.932113643
    0.180360721    4.495491182    4.495491197    2.932530908
    0.200400802    4.497711058    4.497711073    2.932997622
    0.220440882    4.500169764    4.500169779    2.933513905
    0.240480962    4.502868874    4.502868889    2.934079892
    0.260521042    4.505810123    4.505810138    2.934695729
    0.280561122    4.508995413    4.508995428    2.935361576
    0.300601202    4.512426814    4.512426829    2.936077607
    0.320641283    4.516106572    4.516106587    2.936844008
    0.340681363    4.520037110    4.520037125    2.937660980
    0.360721443    4.524221036    4.524221051    2.938528739
    0.380761523    4.528661146    4.528661162    2.939447512
    0.400801603    4.533360434    4.533360449    2.940417544
    0.420841683    4.538322093    4.538322108    2.941439091
    0.440881764    4.543549527    4.543549542    2.942512426
    0.460921844    4.549046357    4.549046372    2.943637838
    0.480961924    4.554816427    4.554816442    2.944815628
    0.501002004    4.560863819    4.560863833    2.946046114
    0.521042084    4.567192855    4.567192870    2.947329632
    0.541082164    4.573808114    4.573808129    2.948666530
    0.561122244    4.580714440    4.580714455    2.950057177
    0.581162325    4.587916955    4.587916969    2.951501955
    0.601202405    4.595421071    4.595421086    2.953001266
    0.621242485    4.603232509    4.603232523    2.954555528
    0.641282565    4.611357305    4.611357320    2.956165177
    0.661322645    4.619801838    4.619801853    2.957830667
    0.681362725    4.628572839    4.628572854    2.959552474
    0.701402806    4.637677415    4.637677429    2.961331089
    0.721442886    4.647123067    4.647123082    2.963167025
    0.741482966    4.656917718    4.656917733    2.965060816
    0.761523046    4.667069732    4.667069747    2.967013016
    0.781563126    4.677587944    4.677587958    2.969024200
    0.801603206    4.688481688    4.688481702    2.971094966
    0.821643287    4.699760830    4.699760845    2.973225934
    0.841683367    4.711435803    4.711435817    2.975417748
    0.861723447    4.723517642    4.723517657    2.977671077
    0.881763527    4.736018030    4.736018044    2.979986613
    0.901803607    4.748949338    4.748949352    2.982365074
    0.921843687    4.762324680    4.762324694    2.984807206
    0.941883768    4.776157965    4.776157979    2.987313781
    0.961923848    4.790463957    4.790463971    2.989885599
    0.981963928    4.805258341    4.805258355    2.992523490
    1.002004008    4.820557800    4.820557814    2.995228314
    1.022044088    4.836380091    4.836380105    2.998000962
    1.042084168    4.852744138    4.852744151    3.000842359
    1.062124248    4.869670132    4.869670145    3.003753460
    1.082164329    4.887179642    4.887179656    3.006735259
    1.102204409    4.905295742    4.905295755    3.009788784
    1.122244489    4.924043147    4.924043160    3.012915099
    1.142284569    4.943448372    4.943448385    3.016115310
    1.162324649    4.963539911    4.963539924    3.019390563
    1.182364729    4.984348434    4.984348447    3.022742043
    1.202404810    5.005907016    5.005907029    3.026170983
    1.222444890    5.028251393    5.028251406    3.029678659
    1.242484970    5.051420257    5.051420270    3.033266395
    1.262525050    5.075455595    5.075455607    3.036935566
    1.282565130    5.100403071    5.100403083    3.040687596
    1.302605210    5.126312478    5.126312490    3.044523967
    1.322645291    5.153238250    5.153238262    3.048446212
    1.342685371    5.181240066    5.181240078    3.052455929
    1.362725451    5.210383552    5.210383564    3.056554772
    1.382765531    5.240741097    5.240741109    3.060744464
    1.402805611    5.272392826    5.272392837    3.065026794
    1.422845691    5.305427736    5.305427747    3.069403621
    1.442885772    5.339945054    5.339945065    3.073876878
    1.462925852    5.376055840    5.376055850    3.078448579
    1.482965932    5.413884910    5.413884920    3.083120817
    1.503006012    5.453573122    5.453573132    3.087895772
    1.523046092    5.495280107    5.495280117    3.092775715
    1.543086172    5.539187507    5.539187516    3.097763012
    1.563126253    5.585502782    5.585502791    3.102860129
    1.583166333    5.634463594    5.634463602    3.108069638
    1.603206413    5.686342642    5.686342650    3.113394223
    1.623246493    5.741452536    5.741452544    3.118836687
    1.643286573    5.800149639    5.800149646    3.124399957
    1.663326653    5.862834353    5.862834360    3.130087090
    1.683366733    5.929942222    5.929942228    3.135901286
    1.703406814    6.001913308    6.001913313    3.141845891
    1.723446894    6.079112468    6.079112473    3.147924409
    1.743486974    6.161641551    6.161641554    3.154140510
    1.763527054    6.248923408    6.248923411    3.160498042
    1.783567134    6.338850768    6.338850771    3.167001041
    1.803607214    6.426334435    6.426334437    3.173653745
    1.823647295    6.502028148    6.502028151    3.180460606
    1.843687375    6.555398550    6.555398554    3.187426303
    1.863727455    6.587844765    6.587844772    3.194555762
    1.883767535    6.621511519    6.621511530    3.201854170
    1.903807615    6.674449617    6.674449629    3.209326992
    1.923847695    6.730516449    6.730516463    3.216979997
    1.943887776    6.740491211    6.740491226    3.224819274
    1.963927856    6.641201471    6.641201486    3.232851261
    1.983967936    6.406660597    6.406660614    3.241082769
    2.004008016    6.119414196    6.119414216    3.249521013
    2.024048096    5.924055055    5.924055077    3.258173643
    2.044088176    5.883084844    5.883084866    3.267048782
    2.064128257    5.962653925    5.962653947    3.276155063
    2.084168337    6.106811904    6.106811926    3.285501674
    2.104208417    6.271945384    6.271945405    3.295098404
    2.124248497    6.424221932    6.424221953    3.304955703
    2.144288577    6.534088863    6.534088883    3.315084735
    2.164328657    6.587844605    6.587844625    3.325497448
    2.184368737    6.604959160    6.604959181    3.336206653
    2.204408818    6.611733047    6.611733068    3.347226101
    2.224448898    6.602530976    6.602530997    3.358570582
