# energy grid [eV]     JDOS [1/eV]
#
    0.000000000    0.000000000
    0.020040080    0.000000000
    0.040080160    0.000000000
    0.060120240    0.000000000
    0.080160321    0.000000000
    0.100200401    0.000000000
    0.120240481    0.000000000
    0.140280561    0.000000000
    0.160320641    0.000000000
    0.180360721    0.000000000
    0.200400802    0.000000000
    0.220440882    0.000000000
    0.240480962    0.000000000
    0.260521042    0.000000000
    0.280561122    0.000000000
    0.300601202    0.000000000
    0.320641283    0.000000000
    0.340681363    0.000000000
    0.360721443    0.000000000
    0.380761523    0.000000000
    0.400801603    0.000000000
    0.420841683    0.000000000
    0.440881764    0.000000000
    0.460921844    0.000000000
    0.480961924    0.000000000
    0.501002004    0.000000000
    0.521042084    0.000000000
    0.541082164    0.000000000
    0.561122244    0.000000000
    0.581162325    0.000000000
    0.601202405    0.000000000
    0.621242485    0.000000000
    0.641282565    0.000000000
    0.661322645    0.000000000
    0.681362725    0.000000000
    0.701402806    0.000000000
    0.721442886    0.000000000
    0.741482966    0.000000000
    0.761523046    0.000000000
    0.781563126    0.000000000
    0.801603206    0.000000000
    0.821643287    0.000000000
    0.841683367    0.000000000
    0.861723447    0.000000000
    0.881763527    0.000000000
    0.901803607    0.000000000
    0.921843687    0.000000000
    0.941883768    0.000000000
    0.961923848    0.000000000
    0.981963928    0.000000000
    1.002004008    0.000000000
    1.022044088    0.000000000
    1.042084168    0.000000000
    1.062124248    0.000000000
    1.082164329    0.000000000
    1.102204409    0.000000000
    1.122244489    0.000000000
    1.142284569    0.000000000
    1.162324649    0.000000000
    1.182364729    0.000000000
    1.202404810    0.000000000
    1.222444890    0.000000000
    1.242484970    0.000000000
    1.262525050    0.000000000
    1.282565130    0.000000000
    1.302605210    0.000000000
    1.322645291    0.000000000
    1.342685371    0.000000000
    1.362725451    0.000000001
    1.382765531    0.000000001
    1.402805611    0.000000003
    1.422845691    0.000000008
    1.442885772    0.000000017
    1.462925852    0.000000035
    1.482965932    0.000000071
    1.503006012    0.000000139
    1.523046092    0.000000265
    1.543086172    0.000000486
    1.563126253    0.000000864
    1.583166333    0.000001489
    1.603206413    0.000002487
    1.623246493    0.000004031
    1.643286573    0.000006349
    1.663326653    0.000009725
    1.683366733    0.000014506
    1.703406814    0.000021092
    1.723446894    0.000029925
    1.743486974    0.000041468
    1.763527054    0.000056157
    1.783567134    0.000074352
    1.803607214    0.000096257
    1.823647295    0.000121831
    1.843687375    0.000150705
    1.863727455    0.000182118
    1.883767535    0.000214908
    1.903807615    0.000247588
    1.923847695    0.000278500
    1.943887776    0.000306067
    1.963927856    0.000329073
    1.983967936    0.000346938
    2.004008016    0.000359896
    2.024048096    0.000369027
    2.044088176    0.000376116
    2.064128257    0.000383339
    2.084168337    0.000392855
    2.104208417    0.000406368
    2.124248497    0.000424783
    2.144288577    0.000448001
    2.164328657    0.000474936
    2.184368737    0.000503716
    2.204408818    0.000532042
    2.224448898    0.000557639
    2.244488978    0.000578684
    2.264529058    0.000594157
    2.284569138    0.000604036
    2.304609218    0.000609320
    2.324649299    0.000611903
    2.344689379    0.000614326
    2.364729459    0.000619496
    2.384769539    0.000630428
    2.404809619    0.000650075
    2.424849699    0.000681256
    2.444889780    0.000726713
    2.464929860    0.000789252
    2.484969940    0.000871956
    2.505010020    0.000978424
    2.525050100    0.001112974
    2.545090180    0.001280741
    2.565130261    0.001487575
    2.585170341    0.001739651
    2.605210421    0.002042730
    2.625250501    0.002401111
    2.645290581    0.002816373
    2.665330661    0.003286171
    2.685370741    0.003803347
    2.705410822    0.004355662
    2.725450902    0.004926337
    2.745490982    0.005495418
    2.765531062    0.006041805
    2.785571142    0.006545600
    2.805611222    0.006990362
    2.825651303    0.007364832
    2.845691383    0.007663859
    2.865731463    0.007888404
    2.885771543    0.008044730
    2.905811623    0.008143033
    2.925851703    0.008195875
    2.945891784    0.008216719
    2.965931864    0.008218807
    2.985971944    0.008214426
    3.006012024    0.008214491
    3.026052104    0.008228283
    3.046092184    0.008263190
    3.066132265    0.008324400
    3.086172345    0.008414615
    3.106212425    0.008533974
    3.126252505    0.008680387
    3.146292585    0.008850436
    3.166332665    0.009040792
    3.186372745    0.009249900
    3.206412826    0.009479515
    3.226452906    0.009735556
    3.246492986    0.010027854
    3.266533066    0.010368567
    3.286573146    0.010769359
    3.306613226    0.011237836
    3.326653307    0.011773971
    3.346693387    0.012367433
    3.366733467    0.012996639
    3.386773547    0.013630038
    3.406813627    0.014229687
    3.426853707    0.014756571
    3.446893788    0.015176709
    3.466933868    0.015466747
    3.486973948    0.015617809
    3.507014028    0.015636750
    3.527054108    0.015544510
    3.547094188    0.015372031
    3.567134269    0.015154681
    3.587174349    0.014926516
    3.607214429    0.014715576
    3.627254509    0.014541060
    3.647294589    0.014412675
    3.667334669    0.014331844
    3.687374749    0.014294061
    3.707414830    0.014291551
    3.727454910    0.014315487
    3.747494990    0.014357341
    3.767535070    0.014409331
    3.787575150    0.014464231
    3.807615230    0.014514956
    3.827655311    0.014554328
    3.847695391    0.014575233
    3.867735471    0.014571156
    3.887775551    0.014536913
    3.907815631    0.014469289
    3.927855711    0.014367364
    3.947895792    0.014232458
    3.967935872    0.014067761
    3.987975952    0.013877866
    4.008016032    0.013668422
    4.028056112    0.013446020
    4.048096192    0.013218340
    4.068136273    0.012994362
    4.088176353    0.012784447
    4.108216433    0.012600027
    4.128256513    0.012452802
    4.148296593    0.012353452
    4.168336673    0.012310074
    4.188376754    0.012326640
    4.208416834    0.012401836
    4.228456914    0.012528568
    4.248496994    0.012694302
    4.268537074    0.012882219
    4.288577154    0.013073011
    4.308617234    0.013247043
    4.328657315    0.013386536
    4.348697395    0.013477513
    4.368737475    0.013511318
    4.388777555    0.013485605
    4.408817635    0.013404778
    4.428857715    0.013279889
    4.448897796    0.013127940
    4.468937876    0.012970592
    4.488977956    0.012832228
    4.509018036    0.012737495
    4.529058116    0.012708502
    4.549098196    0.012762065
    4.569138277    0.012907414
    4.589178357    0.013144807
    4.609218437    0.013465289
    4.629258517    0.013851687
    4.649298597    0.014280621
    4.669338677    0.014725171
    4.689378758    0.015157754
    4.709418838    0.015552807
    4.729458918    0.015889014
    4.749498998    0.016150951
    4.769539078    0.016330150
    4.789579158    0.016425621
    4.809619238    0.016443838
    4.829659319    0.016398145
    4.849699399    0.016307540
    4.869739479    0.016194816
    4.889779559    0.016084194
    4.909819639    0.015998731
    4.929859719    0.015957890
    4.949899800    0.015975718
    4.969939880    0.016059953
    4.989979960    0.016212163
    5.010020040    0.016428788
    5.030060120    0.016702737
    5.050100200    0.017025073
    5.070140281    0.017386392
    5.090180361    0.017777621
    5.110220441    0.018190211
    5.130260521    0.018615847
    5.150300601    0.019045949
    5.170340681    0.019471206
    5.190380762    0.019881347
    5.210420842    0.020265219
    5.230460922    0.020611159
    5.250501002    0.020907610
