# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.881763527    3.807053480    3.807053475    2.418724358
    0.901803607    3.798173443    3.798173438    2.416678217
    0.921843687    3.789186784    3.789186779    2.414598115
    0.941883768    3.780097026    3.780097021    2.412484495
    0.961923848    3.770907669    3.770907664    2.410337806
    0.981963928    3.761622189    3.761622184    2.408158496
    1.002004008    3.752244030    3.752244025    2.405947020
    1.022044088    3.742776610    3.742776605    2.403703833
    1.042084168    3.733223311    3.733223307    2.401429392
    1.062124248    3.723587484    3.723587479    2.399124157
    1.082164329    3.713872441    3.713872436    2.396788589
    1.102204409    3.704081456    3.704081452    2.394423152
    1.122244489    3.694217767    3.694217763    2.392028310
    1.142284569    3.684284567    3.684284562    2.389604529
    1.162324649    3.674285008    3.674285003    2.387152274
    1.182364729    3.664222198    3.664222194    2.384672013
    1.202404810    3.654099202    3.654099197    2.382164214
    1.222444890    3.643919035    3.643919031    2.379629344
    1.242484970    3.633684670    3.633684666    2.377067871
    1.262525050    3.623399028    3.623399024    2.374480263
    1.282565130    3.613064985    3.613064981    2.371866987
    1.302605210    3.602685365    3.602685361    2.369228509
    1.322645291    3.592262944    3.592262940    2.366565297
    1.342685371    3.581800447    3.581800443    2.363877815
    1.362725451    3.571300548    3.571300544    2.361166527
    1.382765531    3.560765872    3.560765868    2.358431897
    1.402805611    3.550198989    3.550198985    2.355674385
    1.422845691    3.539602423    3.539602419    2.352894453
    1.442885772    3.528978640    3.528978636    2.350092559
    1.462925852    3.518330060    3.518330056    2.347269158
    1.482965932    3.507659048    3.507659044    2.344424707
    1.503006012    3.496967919    3.496967915    2.341559656
    1.523046092    3.486258935    3.486258931    2.338674457
    1.543086172    3.475534308    3.475534305    2.335769557
    1.563126253    3.464796200    3.464796196    2.332845401
    1.583166333    3.454046719    3.454046716    2.329902432
    1.603206413    3.443287926    3.443287922    2.326941091
    1.623246493    3.432521829    3.432521825    2.323961814
    1.643286573    3.421750387    3.421750384    2.320965036
    1.663326653    3.410975512    3.410975508    2.317951188
    1.683366733    3.400199063    3.400199060    2.314920697
    1.703406814    3.389422855    3.389422851    2.311873990
    1.723446894    3.378648651    3.378648648    2.308811486
    1.743486974    3.367878169    3.367878166    2.305733605
    1.763527054    3.357113080    3.357113077    2.302640761
    1.783567134    3.346355008    3.346355005    2.299533364
    1.803607214    3.335605533    3.335605529    2.296411824
    1.823647295    3.324866187    3.324866184    2.293276543
    1.843687375    3.314138461    3.314138457    2.290127922
    1.863727455    3.303423799    3.303423796    2.286966356
    1.883767535    3.292723606    3.292723603    2.283792239
    1.903807615    3.282039241    3.282039238    2.280605959
    1.923847695    3.271372022    3.271372019    2.277407901
    1.943887776    3.260723228    3.260723225    2.274198444
    1.963927856    3.250094095    3.250094092    2.270977967
    1.983967936    3.239485822    3.239485819    2.267746842
    2.004008016    3.228899567    3.228899564    2.264505436
    2.024048096    3.218336451    3.218336448    2.261254115
    2.044088176    3.207797556    3.207797554    2.257993239
    2.064128257    3.197283930    3.197283928    2.254723163
    2.084168337    3.186796583    3.186796581    2.251444240
    2.104208417    3.176336490    3.176336488    2.248156818
    2.124248497    3.165904592    3.165904589    2.244861239
    2.144288577    3.155501794    3.155501791    2.241557844
    2.164328657    3.145128971    3.145128969    2.238246966
    2.184368737    3.134786964    3.134786961    2.234928938
    2.204408818    3.124476581    3.124476579    2.231604085
    2.224448898    3.114198602    3.114198599    2.228272730
    2.244488978    3.103953773    3.103953771    2.224935191
    2.264529058    3.093742813    3.093742811    2.221591781
    2.284569138    3.083566412    3.083566410    2.218242810
    2.304609218    3.073425229    3.073425227    2.214888584
    2.324649299    3.063319899    3.063319897    2.211529403
    2.344689379    3.053251027    3.053251025    2.208165564
    2.364729459    3.043219193    3.043219191    2.204797360
    2.384769539    3.033224951    3.033224949    2.201425080
    2.404809619    3.023268830    3.023268828    2.198049007
    2.424849699    3.013351335    3.013351333    2.194669422
    2.444889780    3.003472947    3.003472945    2.191286600
    2.464929860    2.993634122    2.993634120    2.187900814
    2.484969940    2.983835297    2.983835295    2.184512330
    2.505010020    2.974076883    2.974076881    2.181121413
    2.525050100    2.964359273    2.964359271    2.177728323
    2.545090180    2.954682836    2.954682834    2.174333314
    2.565130261    2.945047923    2.945047921    2.170936638
    2.585170341    2.935454865    2.935454862    2.167538543
    2.605210421    2.925903971    2.925903969    2.164139272
    2.625250501    2.916395536    2.916395534    2.160739064
    2.645290581    2.906929834    2.906929832    2.157338156
    2.665330661    2.897507120    2.897507118    2.153936779
    2.685370741    2.888127634    2.888127632    2.150535161
    2.705410822    2.878791600    2.878791598    2.147133526
    2.725450902    2.869499223    2.869499222    2.143732094
    2.745490982    2.860250695    2.860250694    2.140331083
    2.765531062    2.851046191    2.851046190    2.136930705
    2.785571142    2.841885872    2.841885871    2.133531168
    2.805611222    2.832769885    2.832769883    2.130132680
